--------------------------------------------------------------------------------------------------------
system size:                                                                                       512  
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -716.8011.2e+02 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 909.927 1.6e+06 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
117   -0.000        4.1e-02   0.665        1.2e-02   0.003    1.5e-01   
118   0.001         4.1e-02   0.667        1.2e-02   -0.004   1.5e-01   
119   0.000         4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
120   0.000         4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
121   -0.001        4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
122   0.001         4.2e-02   0.666        1.2e-02   -0.005   1.5e-01   
123   -0.001        4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
124   0.002         4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
125   -0.003        4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
126   0.003         4.2e-02   0.668        1.2e-02   -0.003   1.5e-01   
127   -0.003        4.3e-02   0.667        1.2e-02   0.004    1.5e-01   
128   0.002         4.3e-02   0.668        1.2e-02   -0.003   1.5e-01   
129   -0.002        4.2e-02   0.667        1.2e-02   0.004    1.5e-01   
130   0.002         4.3e-02   0.667        1.2e-02   -0.004   1.5e-01   
131   -0.002        4.3e-02   0.667        1.2e-02   0.004    1.5e-01   
132   0.002         4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
133   -0.001        4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
134   0.001         4.2e-02   0.667        1.2e-02   -0.005   1.5e-01   
135   -0.001        4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
136   -0.000        4.2e-02   0.666        1.2e-02   -0.005   1.5e-01   
137   0.000         4.2e-02   0.666        1.2e-02   0.004    1.5e-01   
138   0.001         4.2e-02   0.666        1.2e-02   -0.004   1.5e-01   
139   -0.002        4.2e-02   0.666        1.2e-02   0.005    1.5e-01   
